docket_id,customer_id,short_name,order_size1,order_size2,net_out,unitizing_bundle_qty,unitizing_unit_qty,unitizing_max_height,unitizing_piling_pattern_id
110271,11806,,22.1,66.02,1.0,0,0,48,0
110272,11806,,22.1,66.02,1.0,0,0,48,0
110275,11806,,22.1,66.02,1.0,0,0,48,0
110277,11806,,22.1,66.02,1.0,0,0,48,0
110278,11806,,22.1,66.02,1.0,0,0,48,0
110279,11806,,22.1,66.02,1.0,0,0,48,0
110280,11806,,22.1,66.02,1.0,0,0,48,0
110281,11806,,22.1,66.02,1.0,0,0,48,0
110282,11806,,22.1,66.02,1.0,0,0,48,0
110283,11806,,22.1,66.02,1.0,0,0,48,0
110284,11806,,22.1,66.02,1.0,0,0,48,0
110285,11806,,22.1,66.02,1.0,0,0,48,0
110287,11806,,22.1,66.02,1.0,0,0,48,0
110288,11806,,22.1,66.02,1.0,0,0,48,0
110289,11806,,22.1,66.02,1.0,0,0,48,0
110290,11806,,22.1,66.02,1.0,0,0,48,0
110291,11806,,22.1,66.02,1.0,0,0,48,0
110292,11806,,22.1,66.02,1.0,0,0,48,0
110293,11806,,22.1,66.02,1.0,0,0,48,0
110294,11806,,22.1,66.02,1.0,0,0,48,0
110295,11806,,22.1,66.02,1.0,0,0,48,0
110296,11806,,22.1,66.02,1.0,0,0,48,0
110297,11806,,22.1,66.02,1.0,0,0,48,0
110298,11806,,22.1,66.02,1.0,0,0,48,0
110299,11806,,22.1,66.02,1.0,0,0,48,0
110300,11806,,22.1,66.02,1.0,0,0,48,0
110301,11806,,22.1,66.02,1.0,0,0,48,0
110302,11806,,22.1,66.02,1.0,0,0,48,0
110303,11806,,22.1,66.02,1.0,0,0,48,0
110304,11806,,22.1,66.02,1.0,0,0,48,0
110305,11806,,22.1,66.02,1.0,0,0,48,0
110306,11806,,22.1,66.02,1.0,0,0,48,0
110307,11806,,22.1,66.02,1.0,0,0,48,0
110308,11806,,22.1,66.02,1.0,0,0,48,0
110309,11806,,22.1,66.02,1.0,0,0,48,0
110310,11806,,22.1,66.02,1.0,0,0,48,0
110311,11806,,22.1,66.02,1.0,0,0,48,0
110312,11806,,22.1,66.02,1.0,0,0,48,0
110313,11806,,22.1,66.02,1.0,0,0,48,0
110314,11806,,22.1,66.02,1.0,0,0,48,0
110315,11806,,22.1,66.02,1.0,0,0,48,0
110316,11806,,22.1,66.02,1.0,0,0,48,0
110317,11806,,22.1,66.02,1.0,0,0,48,0
110318,11806,,22.1,66.02,1.0,0,0,48,0
110319,11806,,22.1,66.02,1.0,0,0,48,0
110320,11806,,22.1,66.02,1.0,0,0,48,0
110321,11806,,22.1,66.02,1.0,0,0,48,0
110322,11806,,22.1,66.02,1.0,0,0,48,0
110323,11806,,22.1,66.02,1.0,0,0,48,0
110324,11806,,22.1,66.02,1.0,0,0,48,0
110325,11806,,22.1,66.02,1.0,0,0,48,0
110326,11806,,22.1,66.02,1.0,0,0,48,0
110327,11806,,22.1,66.02,1.0,0,0,48,0
110328,11806,,22.1,66.02,1.0,0,0,48,0
110329,11806,,22.1,66.02,1.0,0,0,48,0
110330,11806,,22.1,66.02,1.0,0,0,48,0
110331,11806,,22.1,66.02,1.0,0,0,48,0
110332,11806,,22.1,66.02,1.0,0,0,48,0
110333,11806,,22.1,66.02,1.0,0,0,48,0
110334,11806,,22.1,66.02,1.0,0,0,48,0
110335,11806,,22.1,66.02,1.0,0,0,48,0
110336,11806,,22.1,66.02,1.0,0,0,48,0
110337,11806,,22.1,66.02,1.0,0,0,48,0
110338,11806,,22.1,66.02,1.0,0,0,48,0
110339,11806,,22.1,66.02,1.0,0,0,48,0
110340,11806,,22.1,66.02,1.0,0,0,48,0
110341,11806,,22.1,66.02,1.0,0,0,48,0
110342,11806,,22.1,66.02,1.0,0,0,48,0
110343,11806,,22.1,66.02,1.0,0,0,48,0
110344,11806,,22.1,66.02,1.0,0,0,48,0
110345,11806,,22.1,66.02,1.0,0,0,48,0
110346,11806,,22.1,66.02,1.0,0,0,48,0
110348,11806,,22.1,66.02,1.0,0,0,48,0
110349,11806,,22.1,66.02,1.0,0,0,48,0
110351,11806,,22.1,66.02,1.0,0,0,48,0
110352,11806,,22.1,66.02,1.0,0,0,48,0
110377,11806,,22.1,66.02,1.0,0,0,48,0
110378,11806,,22.1,66.02,1.0,0,0,48,0
110379,11806,,22.1,66.02,1.0,0,0,48,0
110380,11806,,22.1,66.02,1.0,0,0,48,0
110381,11806,,22.1,66.02,1.0,0,0,48,0
110382,11806,,22.1,66.02,1.0,0,0,48,0
110383,11806,,22.1,66.02,1.0,0,0,48,0
110384,11806,,22.1,66.02,1.0,0,0,48,0
110385,11806,,22.1,66.02,1.0,0,0,48,0
110386,11806,,22.1,66.02,1.0,0,0,48,0
110387,11806,,22.1,66.02,1.0,0,0,48,0
110388,11806,,22.1,66.02,1.0,0,0,48,0
110389,11806,,22.1,66.02,1.0,0,0,48,0
110390,11806,,22.1,66.02,1.0,0,0,48,0
110391,11806,,22.1,66.02,1.0,0,0,48,0
110400,11806,,22.1,66.02,1.0,0,0,48,0
110401,11806,,22.1,66.02,1.0,0,0,48,0
110402,11806,,22.1,66.02,1.0,0,0,48,0
110403,11806,,22.1,66.02,1.0,0,0,48,0
110404,11806,,22.1,66.02,1.0,0,0,48,0
110405,11806,,22.1,66.02,1.0,0,0,48,0
110406,11806,,22.1,66.02,1.0,0,0,48,0
110407,11806,,22.1,66.02,1.0,0,0,48,0
110408,11806,,22.1,66.02,1.0,0,0,48,0
110409,11806,,22.1,66.02,1.0,0,0,48,0
110410,11806,,22.1,66.02,1.0,0,0,48,0
110411,11806,,22.1,66.02,1.0,0,0,48,0
110412,11806,,22.1,66.02,1.0,0,0,48,0
110413,11806,,22.1,66.02,1.0,0,0,48,0
110414,11806,,22.1,66.02,1.0,0,0,48,0
110415,11806,,22.1,66.02,1.0,0,0,48,0
110416,11806,,22.1,66.02,1.0,0,0,48,0
110417,11806,,22.1,66.02,1.0,0,0,48,0
110418,11806,,22.1,66.02,1.0,0,0,48,0
110419,11806,,22.1,66.02,1.0,0,0,48,0
110420,11806,,22.1,66.02,1.0,0,0,48,0
110421,11806,,22.1,66.02,1.0,0,0,48,0
110422,11806,,22.1,66.02,1.0,0,0,48,0
110423,11806,,22.1,66.02,1.0,0,0,48,0
110424,11806,,22.1,66.02,1.0,0,0,48,0
110425,11806,,22.1,66.02,1.0,0,0,48,0
110426,11806,,22.1,66.02,1.0,0,0,48,0
110427,11806,,22.1,66.02,1.0,0,0,48,0
110428,11806,,22.1,66.02,1.0,0,0,48,0
110429,11806,,22.1,66.02,1.0,0,0,48,0
110430,11806,,22.1,66.02,1.0,0,0,48,0
110431,11806,,22.1,66.02,1.0,0,0,48,0
110432,11806,,22.1,66.02,1.0,0,0,48,0
110433,11806,,22.1,66.02,1.0,0,0,48,0
110434,11806,,22.1,66.02,1.0,0,0,48,0
110435,11806,,22.1,66.02,1.0,0,0,48,0
110436,11806,,22.1,66.02,1.0,0,0,48,0
110437,11806,,22.1,66.02,1.0,0,0,48,0
110438,11806,,22.1,66.02,1.0,0,0,48,0
110439,11806,,22.1,66.02,1.0,0,0,48,0
110440,11806,,22.1,66.02,1.0,0,0,48,0
110441,11806,,22.1,66.02,1.0,0,0,48,0
110442,11806,,22.1,66.02,1.0,0,0,48,0
110443,11806,,22.1,66.02,1.0,0,0,48,0
110444,11806,,22.1,66.02,1.0,0,0,48,0
110445,11806,,22.1,66.02,1.0,0,0,48,0
110446,11806,,22.1,66.02,1.0,0,0,48,0
110447,11806,,22.1,66.02,1.0,0,0,48,0
110448,11806,,22.1,66.02,1.0,0,0,48,0
110449,11806,,22.1,66.02,1.0,0,0,48,0
110450,11806,,22.1,66.02,1.0,0,0,48,0
110453,11806,,22.1,66.02,1.0,0,0,48,0
